Docente,Disciplina,Curso,Turma
Hugo Jose Lara Urdaneta,"BLU6013, Estatística",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4754
Hugo Jose Lara Urdaneta,"CAC6013, Estatística",ENGENHARIA DE MATERIAIS,3753
Ismael Casagrande Bellettini,"CEE5794, Fundamentos de Cinética e Catálise Química",QUÍMICA (Noturno),7752
Ismael Casagrande Bellettini,"CEE5605, Físico-química Experimental",QUÍMICA (Noturno),9752
Ismael Casagrande Bellettini,"CEE5703, Introdução á Ciência dos Polímeros",Química Bacharelado,9757
Ismael Casagrande Bellettini,"CEE5794, Fundamentos de Cinética e Catálise Química",Química Bacharelado,6757
Ismael Casagrande Bellettini,"CEE5605, Físico-química Experimental",Química Bacharelado,8757
Ismael Casagrande Bellettini,"CEE7501, Química de superfície e colóides",Química Bacharelado,6757
Janaina Goncalves Guimaraes,"BLU3402, Circuitos Elétricos p/Controle e Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4754B
Janaina Goncalves Guimaraes,"BLU3402, Circuitos Elétricos p/Controle e Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,4754A
Janaina Goncalves Guimaraes,"BLU3503, Eletrônica Aplicada",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5754B
Janaina Goncalves Guimaraes,"BLU3503, Eletrônica Aplicada",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5754A
Johnny de Nardi Martins,"EMT2011, Processamento de Materiais Poliméricos",ENGENHARIA DE MATERIAIS,05753
Johnny de Nardi Martins,"EMT2021, Blendas Poliméricas",ENGENHARIA DE MATERIAIS,09753
Johnny de Nardi Martins,"EMT2502, Química Aplicada aos Materiais",ENGENHARIA DE MATERIAIS,3753
Jorge Cássio Costa Nóbriga,"CEE4499, Tecnologias no Ensino de matemática (PCC 54a-a)",MATEMÁTICA - Licenciatura (noturno),4751
Jorge Cássio Costa Nóbriga,"CEE4992, Estágio Supervisionado II",MATEMÁTICA - Licenciatura,9756
Jose Alexandre Borges Valle,"DET1607, Transferência de Calor e Massa",ENGENHARIA TÊXTIL,6755
Jose Alexandre Borges Valle,"DET1600, Operações Na Indústria Têxtil",ENGENHARIA TÊXTIL,6755
Jose Wilmo da Cruz Junior,"CEE7101, Química Geral I",QUÍMICA (Noturno),1752
Jose Wilmo da Cruz Junior,"CEE7201, Química Inorgânica I",Química Bacharelado,2757
Julio Faria Correa,"CEE4002, Metodologia do Ensino da Matemática (PCC18h-a)",MATEMÁTICA - Licenciatura (noturno),2751
Keysy Solange Costa Nogueira,"CEE5900, Estágio Supervisionado III",QUÍMICA (Noturno),9752
Keysy Solange Costa Nogueira,"CEE7116, Metodologia para o Ensino de Química (PCC 36 Horas-Aula)",QUÍMICA (Noturno),5752
Keysy Solange Costa Nogueira,"CEE7308, Química, Ciência e Sociedade (EXT 36h-a)",QUÍMICA (Noturno),3752
Lara Fernandes dos Santos Lavelli,"BLU6109, Física II",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2754
Lara Fernandes dos Santos Lavelli,"CEE6109, Física II",ENGENHARIA DE MATERIAIS,3753
Larissa Nardini Carli,"EMT2506, Síntese e Química dos Polímeros",ENGENHARIA DE MATERIAIS,3753
Larissa Nardini Carli,"EMT2010, Estrutura e Propriedades dos Polímeros",ENGENHARIA DE MATERIAIS,4753
Larissa Nardini Carli,"EMT2022, Ciência e Tecnologia dos Elastômeros",ENGENHARIA DE MATERIAIS,09753
Larissa Nardini Carli,"EMT2031, TCC",ENGENHARIA DE MATERIAIS,010753
Laura Ximena Lovisa Oliveira,"BLU2028, Projetos de Materiais",ENGENHARIA DE MATERIAIS,07753
Laura Ximena Lovisa Oliveira,"EMT2102, Introdução à Engenharia de Materiais",ENGENHARIA DE MATERIAIS,1753
Laura Ximena Lovisa Oliveira,"EMT2028, Projetos de Materiais",ENGENHARIA DE MATERIAIS,07753
Laura Ximena Lovisa Oliveira,"EMT2103, Introdução à Engenharia de Materiais",ENGENHARIA DE MATERIAIS,1753
Leonardo Mejia Rincon,"BLU3704, Introdução à Robótica Industrial",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754B
Leonardo Mejia Rincon,"BLU3704, Introdução à Robótica Industrial",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754C
Leonardo Mejia Rincon,"BLU3704, Introdução à Robótica Industrial",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754A
Leonardo Mejia Rincon,"BLU3013, Mecanismos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Leonardo Mejia Rincon,"BLU3900, Projeto Especializado",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Leonardo Ulian Lopes,"EMT2402, Ensaio de Materiais",ENGENHARIA DE MATERIAIS,05753
Leonardo Ulian Lopes,"EMT2018, Processamento e caracterização de materiais particulados",ENGENHARIA DE MATERIAIS,09753
Lidiane Meier,"CEE1221, Química Orgânica Experimental",ENGENHARIA TÊXTIL,3755
Lidiane Meier,"CEE5891, Química Biológica II",QUÍMICA (Noturno),8752
Lidiane Meier,"CEE7801, Química Biológica Experimental",Química Bacharelado,8757
Lorena Raphael Rodrigues,"EMT2015, Materiais Cerâmicos e suas Aplicações",ENGENHARIA DE MATERIAIS,4753
Lorena Raphael Rodrigues,"EMT2207, Fundamentos de Engenharia de Materiais II",ENGENHARIA DE MATERIAIS,3753
Lucas Natalio Chavero,"CEE7005, Física III",ENGENHARIA TÊXTIL,5755
Lucas Natalio Chavero,"BLU6210, Física Experimental III",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3754A
Lucas Natalio Chavero,"CEE7295, Física II",MATEMÁTICA - Licenciatura,9756
Lucas Natalio Chavero,"CEE6210, Física experimental III",ENGENHARIA DE MATERIAIS,4753B
Luciana Maccarini Schabbach,"EMT2504, Processamento de Materiais Cerâmicos",ENGENHARIA DE MATERIAIS,05753
Luciana Maccarini Schabbach,"EMT2401, Reciclagem e Valorização de Resíduos",ENGENHARIA DE MATERIAIS,07753
Luiz Antonio Maccari Junior,"BLU3501, Modelagem e Simulação de Processos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5754A
Luiz Antonio Maccari Junior,"BLU3501, Modelagem e Simulação de Processos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,5754B
Luiz Antonio Maccari Junior,"BLU3702, Projeto Integrador",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754A
Luiz Antonio Maccari Junior,"BLU3003, Controle no Espaço de Estados",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8754
Maiquel de Brito,"BLU3024, Integração de Sistemas para Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,9754
Maiquel de Brito,"CAC3202, Algoritmos e Estruturas de Dados",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,02754B
Maiquel de Brito,"CAC3202, Algoritmos e Estruturas de Dados",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,02754A
Marcelo Dallagnol Alloy,"CEE7004, Física Experimental II",ENGENHARIA TÊXTIL,4755A
Marcelo Dallagnol Alloy,"BLU6209, Física Experimental II",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2754B
Marcelo Dallagnol Alloy,"BLU6209, Física Experimental II",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2754A
Marcelo Dallagnol Alloy,"CEE6209 , Física experimental II",ENGENHARIA DE MATERIAIS,3753A
Marcelo Dallagnol Alloy,"CEE5505, Física Experimental",QUÍMICA (Noturno),7752
Marcelo Dallagnol Alloy,"CEE5505, Física Experimental",Química Bacharelado,6757
Marcio Roberto da Rocha,"EMT2014, Materiais Metálicos e suas Aplicações",ENGENHARIA DE MATERIAIS,4753
Marcio Roberto da Rocha,"EMT2020, Processamento de Materiais Metálicos",ENGENHARIA DE MATERIAIS,05753
Marcos Roberto Scheide Neto,"CEE2400, Química Orgânica",ENGENHARIA TÊXTIL,2755
Marcos Roberto Scheide Neto,"CEE2400, Química Orgânica",ENGENHARIA DE MATERIAIS,2753
Marcos Roberto Scheide Neto,"CEE1101, Química Experimental",ENGENHARIA DE MATERIAIS,2753
Marcos Roberto Scheide Neto,"CEE5502, Química Orgânica II",QUÍMICA (Noturno),5752
Marcos Roberto Scheide Neto,"CEE5791, Química Biológica I",QUÍMICA (Noturno),7752
Marcos Roberto Scheide Neto,"CEE5507, Química Orgânica Experimental",Química Bacharelado,8757
Marcos Roberto Scheide Neto,"CEE5502, Química Orgânica II",Química Bacharelado,4757
Marcos Roberto Scheide Neto,"CEE5791, Química Biológica I",Química Bacharelado,6757
Marcos Vinicius Matsuo,"BLU3002, Identificação e Controle Adaptativo de Sistemas",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8754
Marcos Vinicius Matsuo,"BLU7215, Estágio",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,10754
Marcos Vinicius Matsuo,"CAC3100, Introdução à Engenharia de Controle e Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,01754A
Marcos Vinicius Matsuo,"CAC3100, Introdução à Engenharia de Controle e Automação",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,01754B
Maria Elisa Philippsen Missner,"DET1203, Introdução a Elementos de Máquinas",ENGENHARIA TÊXTIL,2755
Maria Elisa Philippsen Missner,"DET1804, Modelagem e Simulação de Processos",ENGENHARIA TÊXTIL,8755
Maria Elisa Philippsen Missner,"DET8000, Tecnologia de Confecção",ENGENHARIA TÊXTIL,8755
Mauri Ferrandin,"CAC6000, Introdução à Ciência da Computação",ENGENHARIA TÊXTIL,1755
Mauri Ferrandin,"BLU3023, Programação Orientada de Objetos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8754
Mauri Ferrandin,"BLU8002, Inteligência Artificical",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,10754
Miguel Angelo Granato,"DET1703, Ciências das Cores",ENGENHARIA TÊXTIL,8755
Miguel Angelo Granato,"DET1703, Ciências das Cores",ENGENHARIA TÊXTIL,7755
Miguel Angelo Granato,"DET1806, Tecnologia do beneficiamento III",ENGENHARIA TÊXTIL,8755
Miguel Angelo Granato,"DET1408, Fenômenos de Superfície",ENGENHARIA TÊXTIL,4755
Miguel Angelo Granato,"DET1502, Termodinâmica",ENGENHARIA TÊXTIL,5755
Nara Rubiano da Silva,"CEE6310, Ótica",ENGENHARIA TÊXTIL,6755
Nara Rubiano da Silva,"CEE6206 , Física experimental I",ENGENHARIA TÊXTIL,3755
Nara Rubiano da Silva,"BLU6206, Física Experimental I",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,2754A
Nara Rubiano da Silva,"BLU6110, Física III",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3754
Nara Rubiano da Silva,"CEE6110, Física III",ENGENHARIA DE MATERIAIS,4753
Odinei Hess Gonçalves,"DET1305, Tecnologia de Fiação I",ENGENHARIA TÊXTIL,3755
Odinei Hess Gonçalves,"DET1943, Projetos e Dimensionamento da Indústria Têxtil",ENGENHARIA TÊXTIL,8755
Odinei Hess Gonçalves,"DET1808, Tratamento de Águas e Efluentes",ENGENHARIA TÊXTIL,9755
Patricia Bulegon Brondani,"CEE5603, Análise Orgânica",QUÍMICA (Noturno),7752
Patricia Bulegon Brondani,"CEE7602, Química Orgânica III",Química Bacharelado,6757
Rafael Leonardo Novak,"BLU6106, Física I",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,1754
Rafael Leonardo Novak,"BLU6106, Física I",ENGENHARIA DE MATERIAIS,2753
Renata Orlandi,"CEE7199, Educação, Direitos humanos e Diversidade Sócio-Cultural",MATEMÁTICA - Licenciatura (noturno),6751
Renata Orlandi,"CEE7208, Psicologia Educacional",MATEMÁTICA - Licenciatura,3756
Rita de Cassia Siqueira Curto Valle,"DET1100, Introdução à Engenharia Têxtil",ENGENHARIA TÊXTIL,1755
Rita de Cassia Siqueira Curto Valle,"DET1205, Polímeros e Fibras I",ENGENHARIA TÊXTIL,2755
Rita de Cassia Siqueira Curto Valle,"DET1906, Conservação de Substratos Têxteis",ENGENHARIA TÊXTIL,9755
Rita de Cassia Siqueira Curto Valle,"DET1042, Biotecnologia Têxtil (optativa II)",ENGENHARIA TÊXTIL,7755
Selene de Souza Siqueira Soares,"DET1813, Microeconomia (TURMA CONJ.)",ENGENHARIA TÊXTIL,9755
Selene de Souza Siqueira Soares,"DET3706, Gestão de Projetos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754
Selene de Souza Siqueira Soares,"DET1814, Economia",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754
Selene de Souza Siqueira Soares,"DET1813, Microeconomia (TURMA CONJ.)",ENGENHARIA DE MATERIAIS,9753
Sergio Luiz Ferreira,"CAC7011, Tecnologias para o Desenvolvimento Inclusivo (EXT 36h-a)",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754
Sheila Santisi Travessa,"CAC1403, Eletrotécnica",ENGENHARIA TÊXTIL,5755
Sheila Santisi Travessa,"BLU1403, Eletrotécnica (Eng Tex)",ENGENHARIA TÊXTIL,5755
Sheila Santisi Travessa,"BLU3604, Acionamentos Elétricos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754A
Sheila Santisi Travessa,"BLU3604, Acionamentos Elétricos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754B
Sheila Santisi Travessa,"BLU3604, Acionamentos Elétricos",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754C
Sheila Santisi Travessa,"BLU3702, Projeto Integrador",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,7754A
Sheila Santisi Travessa,"CAC3201, Sistemas Digitais",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,02754B
Sheila Santisi Travessa,"CAC3201, Sistemas Digitais",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,02754A
Silmar Jose Spinardi Franchi,"CEE7902, Bioinorgânica",QUÍMICA (Noturno),9752
Silmar Jose Spinardi Franchi,"CEE7603, Química Inorgânica Experimental II",Química Bacharelado,8757
Silmar Jose Spinardi Franchi,"CEE7603, Química Inorgânica Experimental II",Química Bacharelado,6757
Silmar Jose Spinardi Franchi,"CEE7902, Bioinorgânica",Química Bacharelado,8757
Steffan Macali Werner,"CAC7002, Ciência-Tecnologia-Sociedade",ENGENHARIA TÊXTIL,4755
Steffan Macali Werner,"CAC2505, Metodologia Científica",ENGENHARIA TÊXTIL,3755
Steffan Macali Werner,"CAC2505, Metodologia Científica",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754
Steffan Macali Werner,"CAC7008, Ciência - tecnologia e sociedade",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,3754
Steffan Macali Werner,"CAC7009, Tecnologia, Inovação, Desenvolvimento e Sociedade",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,6754
Steffan Macali Werner,"BLU7000, Ciência-Tecnologia-Sociedade",ENGENHARIA DE MATERIAIS,7753
Steffan Macali Werner,"CAC2505, Metodologia Científica",ENGENHARIA DE MATERIAIS,5753
Steffan Macali Werner,"CAC2903, Ética, Direitos Humanos e Diversidade Sociocultural",ENGENHARIA DE MATERIAIS,9753
Tiago Davi Curi Busarello,"BLU3014, Eletrônica de Potência",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,8754
Tiago Davi Curi Busarello,"BLU7210, TCC",ENGENHARIA DE CONTROLE E AUTOMAÇÃO,10754
Wanderson Santana da Silva,"EMT2405, Resistência e Falha em Materiais",ENGENHARIA DE MATERIAIS,04753
Wanderson Santana da Silva,"EMT2702, Engenharia de Superfícies",ENGENHARIA DE MATERIAIS,09753
